num,code,name,inst,loc,day,period,final
11158,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11158,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,M,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
11159,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11159,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,M,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
11160,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
11160,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,M,10:40,12:35,4/27/2022 @ 3:00 PM - 5:00 PM
19612,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
19612,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E116,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
24993,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
24993,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E115,T,12:50,14:45,4/27/2022 @ 3:00 PM - 5:00 PM
24995,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
24995,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E113,T,17:10,19:5,4/27/2022 @ 3:00 PM - 5:00 PM
26297,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26297,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,M,9:35,11:30,4/27/2022 @ 3:00 PM - 5:00 PM
26310,COP3502C,Programming Fundamentals 1,Lisha Zhou,CAR 0100,MWF,8:30,9:20,4/27/2022 @ 3:00 PM - 5:00 PM
26310,COP3502C,Programming Fundamentals 1,Lisha Zhou,CSE E312,M,11:45,13:40,4/27/2022 @ 3:00 PM - 5:00 PM
